Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
29/12/2021,William Francis,Hagerty,US Senator,NS,Nustar Energy ,75000,Sell,"Traded $50,001 to $100,000 "
29/12/2021,William Francis,Hagerty,US Senator,BKEP,Blueknight Ene,32500,Sell,"Traded $15,001 to $50,000 "
29/12/2021,William Francis,Hagerty,US Senator,CCEP,Coca-Cola Euro,75000,Sell,"Traded $50,001 to $100,000 "
29/12/2021,William Francis,Hagerty,US Senator,ENVA,Enova Internat,32500,Sell,"Traded $15,001 to $50,000 ."
29/12/2021,William Francis,Hagerty,US Senator,PNFP,Pinnacle Finl ,175000,Sell,"Traded $100,001 to $250,000 "
31/12/2021,Thomas,Carper,US Senator,SBIO,Alps Medical B,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
03/01/2022,Gary,Peters,US Senator,IBM,International ,8000,Buy,"Traded $1,001 to $15,000 "
03/01/2022,Thomas,Tuberville,US Senator,SSYS,Stratasys Ltd,32000,Sell,"Sale Of Short Sale With Strike Price $25.00 And Expiry 17-June-2022. Traded $4,001 To $60,000. "
04/01/2022,John,Boozman,US Senator,SLV,Silver Trust I,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2022,Thomas,Tuberville,US Senator,INTC,Intel Corp,16000,Sell,"Sale Of Put Options With Strike Price $52.50 And Expiry 16-September-2022. Traded $2,001 To $30,000. "
06/01/2022,Susan,Collins,US Senator,AMZN,Amazon.com Inc,32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
06/01/2022,Susan,Collins,US Senator,LIN,Linde Plc,32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
06/01/2022,Susan,Collins,US Senator,NVDA,Nvidia Corp,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
06/01/2022,Susan,Collins,US Senator,HSIC,Henry Schein I,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
06/01/2022,Susan,Collins,US Senator,CARR,Carrier Global,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
06/01/2022,Susan,Collins,US Senator,OTIS,Otis Worldwide,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
06/01/2022,Susan,Collins,US Senator,VFC,V.F. Corp,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
06/01/2022,Susan,Collins,US Senator,WEX,Wex Inc,32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
,,,,,,,,
https://www.congress.gov/,,,,,,,,
