Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
19/04/2021,Patrick,Fallon,US Congressman,AAPL,Apple Inc,1125001,Sell,"Traded $750,002 To $1,500,000 ."
19/04/2021,Hakeem,Jeffries,US Congressman,VEA,FTSE Developed,8000,Buy,"Traded $1,001 to $15,000 ."
19/04/2021,Michael,Mccaul,US Congressman,UNH,Unitedhealth G,75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
19/04/2021,Michael,Mccaul,US Congressman,BURL,Burlington Sto,150001,Sell,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
19/04/2021,Michael,Mccaul,US Congressman,UEEC,United Health ,150001,Buy,"By Spouse & Dependent Child. Traded $100,002 To $200,000 ."
19/04/2021,Virginia,Foxx,US Congressman,NHI,National Healt,75000,Buy,"Traded $50,001 to $100,000 "
17/04/2021,William,Keating,US Congressman,BJ,Bj's Wholesale,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Diana,Harshbarger,US Congressman,MSI,Motorola Solut,16001,Sell,"Traded $2,002 To $30,000 ."
16/04/2021,Diana,Harshbarger,US Congressman,GEN,Gen Digital In,24002,Sell,"By Spouse. Traded $3,003 To $45,000 ."
16/04/2021,Diana,Harshbarger,US Congressman,NUAN,Nuance Communi,24002,Sell,"By Director & Spouse. Traded $3,003 To $45,000 ."
16/04/2021,Diana,Harshbarger,US Congressman,CHKP,Check Point So,24002,Sell,"By Director & Spouse. Traded $3,003 To $45,000 ."
16/04/2021,Diana,Harshbarger,US Congressman,ADBE,Adobe Systems ,8000,Buy,"By Director And Spouse. Traded $2,002 To $30,000 ."
16/04/2021,Diana,Harshbarger,US Congressman,AMZN,Amazon.com Inc,16001,Buy,"By Congressman & Spouse. Traded $2,002 To $30,000 ."
16/04/2021,Thomas,Tuberville,US Senator,ECOM,Channeladvisor,8000,Sell,"Sale Of Call Options With Strike Price $30.00 And Expiry 12/17/2021. Traded $1,001 To $15,000 , As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
16/04/2021,Marie,Newman,US Congressman,W,Wayfair Inc,32500,Buy,"By Spouse. Traded $15,001 to $50,000 ."
16/04/2021,Marie,Newman,US Congressman,TGNA,Tegna Inc,8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Marie,Newman,US Congressman,NKE,Nike Inc,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Marie,Newman,US Congressman,NFLX,Netflix Inc,75000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Marie,Newman,US Congressman,MET,Metlife Inc,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
16/04/2021,Marie,Newman,US Congressman,LMND,Lemonade Inc,8000,Sell,"Traded $1,001 to $15,000 "
16/04/2021,Marie,Newman,US Congressman,GPRO,Gopro Inc Cl A,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Marie,Newman,US Congressman,COIN,Coinbase Globa,32500,Sell,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Marie,Newman,US Congressman,COIN,Coinbase Globa,32500,Buy,"By Spouse. Traded $1,001 to $15,000 ."
16/04/2021,Joshua,Gottheimer,US Congressman,ROKU,Roku Inc,8000,Sell,"Traded $1,001 to $15,000 "
16/04/2021,Joshua,Gottheimer,US Congressman,MELI,Mercadolibre I,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Joshua,Gottheimer,US Congressman,META,Meta Platforms,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Joshua,Gottheimer,US Congressman,GOOG,Alphabet Cl C,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Marjorie,Greene,US Congressman,WMT,Walmart Inc,8000,Buy,"Traded $1,001 to $15,000 ."
16/04/2021,Marjorie,Greene,US Congressman,CRM,Salesforce Inc,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Marjorie,Greene,US Congressman,QCOM,Qualcomm Inc,8000,Buy,"Traded $1,001 to $15,000 "
16/04/2021,Marjorie,Greene,US Congressman,NEE,Nextera Energy,8000,Buy,"Traded $1,001 to $15,000 "
