Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
04/01/2021,Deborah,Ross,US Congressman,ORCL,Oracle Corp,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
04/01/2021,Deborah,Ross,US Congressman,XLF,S&P 500 Financ,32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
04/01/2021,Deborah,Ross,US Congressman,XLB,S&P 500 Materi,32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
04/01/2021,Deborah,Ross,US Congressman,SPY,S&P 500 SPDR,75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
04/01/2021,Diana,Harshbarger,US Congressman,WFC,Wells Fargo & ,16000,Buy,"By Director And Spouse. Traded $2,002 To $30,000 "
04/01/2021,Marie,Newman,US Congressman,CHWY,Chewy Inc,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
04/01/2021,Marie,Newman,US Congressman,ZTNO,Zoom Technolog,8000,Buy,By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint.
04/01/2021,Thomas,Tuberville,US Senator,INTC,Intel Corp,8000,Buy,"Purchase Of Put Options With Strike Price $50.00 And Expiry 07/16/2021. Traded $1,001 To $15.000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Carper,US Senator,PSQ,Short QQQ -1X ,24000,Buy,"By Spouse. Traded $3,001 To $45,000 "
04/01/2021,Tomasz,Malinowski,US Congressman,CNF,Cnfinance Hold,8000,Buy,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,GOOG,Alphabet Cl C,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,AAPL,Apple Inc,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Christopher,Jacobs,US Congressman,ARW,Arrow Electron,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,ASMB,Assembly Biosc,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Christopher,Jacobs,US Congressman,BAC,Bank of Americ,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,BIIB,Biogen Inc,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Christopher,Jacobs,US Congressman,CCEP,Coca-Cola Euro,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,CMP,Compass Minera,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,COP,Conocophillips,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,ECL,Ecolab Inc,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,F,Ford Motor Com,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,HRL,Hormel Foods C,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,IBM,International ,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,JNJ,Johnson & John,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,BBWI,Bath & Body Wo,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,MTB,M&T Bank Corp,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,MCD,McDonald's Cor,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,MSI,Motorola Solut,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,PG,Procter & Gamb,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,PRU,Prudential Fin,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,PSA,Public Storage,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,RETA,Reata Pharma,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,RSG,Republic Servi,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,SRNEQ,Sorrento Thera,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Christopher,Jacobs,US Congressman,STT,State Street C,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,TFC,Truist Financi,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Christopher,Jacobs,US Congressman,UNH,Unitedhealth G,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,VFC,V.F. Corp,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Christopher,Jacobs,US Congressman,WMT,Walmart Inc,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Deborah,Ross,US Congressman,MSFT,Microsoft Corp,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Diana,Harshbarger,US Congressman,WMT,Walmart Inc,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Diana,Harshbarger,US Congressman,SPGI,S&P Global Inc,8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
04/01/2021,Diana,Harshbarger,US Congressman,AAPL,Apple Inc,16000,Sell,"By Director And Spouse. Traded $2,002 To $30,000 ."
04/01/2021,Diana,Harshbarger,US Congressman,TXN,Texas Instrume,16001,Sell,"By Director And Spouse. Traded $2,002 To $30,000 ."
04/01/2021,Diana,Harshbarger,US Congressman,VRSK,Verisk Analyti,16001,Sell,"By Director And Spouse. Traded $2,002 To $30,000 "
04/01/2021,Diana,Harshbarger,US Congressman,NUAN,Nuance Communi,16001,Sell,"By Director And Spouse. Traded $2,002 To $30,000 "
04/01/2021,Diana,Harshbarger,US Congressman,XLNX,Xilinx Inc,16001,Sell,"By Director And Spouse. Traded $2,002 To $30,000 ."
04/01/2021,Joshua,Gottheimer,US Congressman,DE,Deere & Compan,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Joshua,Gottheimer,US Congressman,FDX,Fedex Corp,8000,Sell,"Traded $1,001 to $15,000 ."
04/01/2021,Joshua,Gottheimer,US Congressman,HCA,Hca Holdings I,8000,Sell,"Traded $1,001 to $15,000 "
04/01/2021,Marie,Newman,US Congressman,FDX,Fedex Corp,8000,Sell,By Spouse. As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint.
04/01/2021,Marie,Newman,US Congressman,ZM,Zoom Video Com,32500,Sell,"By Spouse. Traded $15,001 to $50,000 ."
04/01/2021,Michael,Simpson,US Congressman,QTEC,Nasdaq 100 Tec,32500,Sell,"Traded $15,001 to $50,000 ."
04/01/2021,Rohit,Khanna,US Congressman,FDX,Fedex Corp,8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
04/01/2021,Thomas,Tuberville,US Senator,PYPL,Paypal Holding,16000,Sell,"Sale Of Put Options With Strike Price $220.00 And 06/17/2022. Traded $2,001 To $30.000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Carper,US Senator,SH,Short S&P500 -,24000,Sell,"By Spouse. Traded $3,001 To $45,000 "
04/01/2021,Thomas,Tuberville,US Senator,INTC,Intel Corp,32000,Sell,"Sale Of Put Options With Strike Price $50.00 And Expiry 07/16/2021. Traded $4,001 To $60,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
04/01/2021,Thomas,Tuberville,US Senator,WY,Weyerhaeuser C,75000,Sell,"Traded $50,001 to $100,000 "
04/01/2021,Thomas,Tuberville,US Senator,DG,Dollar General,75000,Sell,"Traded $50,001 to $100,000 ."
05/01/2021,Dean,Phillips,US Congressman,ALXN,Alexion Pharm ,8000,Buy,"Traded $1,001 to $15,000 ."
05/01/2021,Dean,Phillips,US Congressman,ES,Eversource Ene,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Dean,Phillips,US Congressman,TSLA,Tesla Inc,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Dean,Phillips,US Congressman,ABT,Abbott Laborat,16001,Buy,"Traded $2,002 To $30,000 "
05/01/2021,Dean,Phillips,US Congressman,IRM,Iron Mountain ,32500,Buy,"Traded $1,001 to $15,000 ."
05/01/2021,Diana,Harshbarger,US Congressman,PG,Procter & Gamb,8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
05/01/2021,Diana,Harshbarger,US Congressman,AZO,Autozone,8000,Buy,"Traded $1,001 to $15,000 ."
05/01/2021,Joshua,Gottheimer,US Congressman,AZTA,Azenta Inc,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Lois,Frankel,US Congressman,EXPE,Expedia Group ,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Susie,Lee,US Congressman,AHCO,Adapthealth Co,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Susie,Lee,US Congressman,CHX,Championx Corp,8000,Buy,"Traded $1,001 to $15,000 "
05/01/2021,Virginia,Foxx,US Congressman,PPL,PPL Corp,8000,Buy,"Traded $1,001 to $15,000 "
